brand,model,engine_type,fuel,transmission,km,price,year,type
Volkswagen,TIGUAN,1.5 TSI,Petrol,Automatic,67823.0,574900,2020.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1599900,2026.0,autojarov
CUPRA,LEON,2.0 TSI,Petrol,Automatic,21525.0,799000,2023.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,172614.0,459000,2020.0,autojarov
Audi,A6,,Hybrid,Automatic,177359.0,539900,2020.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,89470.0,314000,2022.0,autojarov
Volkswagen,Passat,2.0 TDI,Diesel,Automatic,31969.0,824000,2024.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,1079900,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,0.0,595200,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,624800,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,0.0,751300,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,0.0,675000,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,0.0,789700,2026.0,autojarov
Audi,Q7,,Diesel,Automatic,115141.0,1199900,2020.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1439000,2026.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1599000,2026.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1679000,2026.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1179000,2026.0,autojarov
Audi,Q3,,Petrol,Automatic,5000.0,1499000,2026.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,1619000,2026.0,autojarov
Audi,Q3,2.0 TDI,Diesel,Manual,64610.0,619000,2020.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,859000,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,835000,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,42972.0,579000,2023.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,845000,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,879000,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,0.0,744700,2026.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Automatic,0.0,995000,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Automatic,0.0,529800,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Automatic,0.0,505000,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,0.0,475200,2026.0,autojarov
Škoda,FABIA,1.0 MPI,Petrol,Manual,0.0,399000,2026.0,autojarov
Škoda,FABIA,1.0 MPI,Petrol,Manual,0.0,411300,2026.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,0.0,1151900,2026.0,autojarov
Audi,Q5,,Diesel,Automatic,65856.0,879900,2022.0,autojarov
SEAT,ARONA,1.0 TSI,Petrol,Manual,28899.0,399000,2022.0,autojarov
